id_lo,id_mid,id_hi,n
587,1078,1739,115
588,1162,1593,20
590,1059,1521,15
591,775,1605,15
591,1288,1511,18
592,748,957,110
593,744,1238,114
594,956,1199,109
596,690,965,105
596,908,1277,107
598,1108,1353,14
599,1315,1697,113
600,1270,1571,110
601,1536,1773,20
602,1834,1852,112
603,937,1144,118
604,899,1127,12
604,1606,1803,16
605,1161,1351,16
605,1219,1247,109
606,750,1404,16
606,823,965,110
607,703,1133,18
607,1483,1841,108
610,751,1033,18
610,1066,1496,105
610,1345,1651,102
611,1166,1494,110
612,794,969,17
612,796,1577,115
613,699,1809,16
613,1144,1238,13
613,1315,1799,109
613,1619,1707,111
614,1570,1580,109
615,641,667,12
615,1034,1265,109
616,868,1507,117
617,833,834,13
617,1018,1620,111
622,701,1820,13
622,1019,1069,13
622,1190,1197,16
622,1194,1797,19
623,1218,1262,108
623,1238,1417,17
625,647,790,14
625,684,1597,98
625,886,918,14
627,656,1665,18
627,866,1595,102
628,1112,1285,11
628,1497,1826,15
629,1065,1281,108
629,1420,1850,14
630,716,1043,14
631,1058,1683,15
631,1084,1206,16
634,972,1474,115
636,855,1080,115
636,943,1748,107
636,1463,1845,14
637,968,1691,109
637,974,1659,115
637,1449,1498,20
638,1019,1490,15
641,680,1740,107
641,1257,1338,108
642,1137,1831,100
644,694,699,115
644,1087,1233,112
644,1333,1622,16
645,911,1349,15
646,674,721,16
646,712,1771,108
648,689,1407,108
648,1286,1597,109
648,1425,1785,18
649,1046,1598,109
649,1488,1824,20
650,695,1227,19
650,908,1320,18
650,1365,1406,116
651,1222,1422,114
653,656,1602,109
653,861,1832,16
654,823,1235,112
654,1001,1400,14
656,1122,1792,16
657,774,1109,17
657,867,1733,114
658,809,1199,108
658,1539,1722,117
659,745,992,16
659,842,1542,16
660,997,1690,17
660,1361,1546,113
662,682,1357,15
662,859,1817,15
662,1118,1165,18
663,1147,1446,112
665,793,970,113
665,972,1659,14
666,699,1007,19
667,684,1272,113
667,1083,1787,110
668,935,1077,20
669,870,1832,13
670,924,1131,110
670,1086,1367,15
674,853,1204,18
674,1088,1484,110
675,910,1139,16
675,1768,1777,110
676,1189,1696,13
676,1273,1378,111
677,1117,1377,108
678,1140,1817,13
678,1406,1578,115
678,1694,1768,110
679,1471,1519,17
680,1135,1760,115
680,1368,1438,12
682,1483,1816,15
684,1332,1645,110
684,1467,1793,14
687,790,1336,13
687,892,1091,113
687,1600,1829,15
688,1419,1748,14
688,1664,1740,15
689,723,1141,112
689,1008,1138,108
691,911,1567,18
691,966,1776,17
693,905,1798,15
694,838,1527,115
694,1322,1576,13
695,1051,1659,19
695,1336,1786,116
696,927,1503,17
696,1204,1537,109
696,1373,1826,115
699,991,1368,17
699,1398,1568,17
700,1283,1584,112
700,1323,1362,112
702,874,1608,17
704,812,1029,12
705,788,1148,103
705,1159,1400,106
705,1518,1797,113
706,715,1642,108
706,731,1160,18
706,914,1120,21
706,963,1523,15
708,1260,1701,16
711,923,1436,20
713,813,1167,109
713,1187,1490,15
